bird_record,record_id,species,species_scientific,species_abbreviation,count
1,1083001,Royal / Wandering albatross,Diomedea epomophora / sanfordi / antipodensis / exulans,DIOEPOSANANTEXU,6
2,1083001,Black-browed albatross sensu lato,Diomedea impavida / melanophrys,DIOIMPMEL,2
3,1083001,Cape petrel,Daption capense,DAPCAP,8
4,1083001,Fairy prion,Pachyptila turtur,PACTUR,2
5,1083001,Sooty shearwater,Puffinus griseus,PUFGRI,4
6,1084001,Royal albatross sensu lato,Diomedea epomophora / sanfordi,DIOEPOSAN,10
7,1084001,Black-browed albatross sensu lato,Diomedea impavida / melanophrys,DIOIMPMEL,2
8,1084001,Sooty shearwater,Puffinus griseus,PUFGRI,18
9,1084002,Royal albatross sensu lato,Diomedea epomophora / sanfordi,DIOEPOSAN,10
10,1084002,Black-browed albatross sensu lato,Diomedea impavida / melanophrys,DIOIMPMEL,2
11,1084002,Cape petrel,Daption capense,DAPCAP,2
12,1084002,Prion (unidentified),Pachyptila sp,PACSP,2
13,1084002,Sooty shearwater,Puffinus griseus,PUFGRI,8
14,1084002,Seabird (Unidentified),NA,SEABUN,1
15,1084003,Royal albatross sensu lato,Diomedea epomophora / sanfordi,DIOEPOSAN,14
16,1084003,Black-browed albatross sensu lato,Diomedea impavida / melanophrys,DIOIMPMEL,4
17,1084003,Giant petrel sensu lato,Macronectes sp.,MACSP,3
18,1084003,Cape petrel,Daption capense,DAPCAP,8
19,1084003,Fairy prion,Pachyptila turtur,PACTUR,18
20,1086001,Fairy prion,Pachyptila turtur,PACTUR,6
21,1086001,Black petrel,Procellaria parkinsoni,PROPAR,55
22,1086001,Australasian gannet,Morus serrator,MORSER,12
23,1086002,Wilson's storm petrel,Oceanites oceanicus,OCEOCE,22
24,1086002,Australasian gannet,Morus serrator,MORSER,7
25,1086003,Wandering albatross sensu lato,Diomedea antipodensis / exulans,DIOANTEXU,4
26,1086003,Wandering albatross sensu lato,Diomedea antipodensis / exulans,DIOANTEXU,2
27,1086003,Royal albatross sensu lato,Diomedea epomophora / sanfordi,DIOEPOSAN,3
28,1086003,Northern giant petrel,Macronectes halli,MACHAL,3
29,1086003,White-chinned petrel,Procellaria aequinoctialis,PROAEQ,1
30,1086003,Sooty shearwater,Puffinus griseus,PUFGRI,1
31,1086004,Wandering albatross sensu lato,Diomedea antipodensis / exulans,DIOANTEXU,4
32,1086004,Wandering albatross sensu lato,Diomedea antipodensis / exulans,DIOANTEXU,2
33,1086004,Royal albatross sensu lato,Diomedea epomophora / sanfordi,DIOEPOSAN,3
34,1086004,Northern giant petrel,Macronectes halli,MACHAL,1
35,1086004,White-chinned petrel,Procellaria aequinoctialis,PROAEQ,1
36,1086005,Wandering albatross sensu lato,Diomedea antipodensis / exulans,DIOANTEXU,3
37,1086005,Wandering albatross sensu lato,Diomedea antipodensis / exulans,DIOANTEXU,4
