ship_record,record_id,lat,long
1,1083001,-45.916666666666664,165.4
2,1084001,-35.53333333333333,125
3,1084002,-37.666666666666664,132.25
4,1084003,-40,162
5,1086001,-36.166666666666664,174.91666666666666
6,1086002,-35.416666666666664,174.56666666666666
7,1086003,-35.25,168
8,1086004,-35.3,167.33333333333334
9,1086005,-36.5,161
10,1086006,-36.333333333333336,160.5
11,1086007,-39.18333333333333,146.28333333333333
12,1087001,NA,NA
13,1087002,-39.666666666666664,154.16666666666666
14,1087003,-39.666666666666664,155
15,1087004,-39.85,161.93333333333334
16,1087005,-39.93333333333333,162.08333333333334
17,1087006,-40,164
18,1087007,-40,NA
19,1087008,-40.1,167.5
20,1087009,-40.166666666666664,168.66666666666666
21,1087010,-40.2,169.08333333333334
22,1087011,-40.21666666666667,169.5
23,1088001,-33,152
24,1088002,-33,152
25,1088003,-34,152
26,1088004,-35,154
27,1088005,-36,154
28,1088006,-37,157
29,1088007,-39,158
30,1088008,-40,158
31,1088009,-40,159
32,1088010,-40,159
33,1088011,-41,160
34,1088012,-42,161
35,1088013,-42,162
36,1088014,-43,162
37,1088015,-44,164
38,1088016,-46,166
39,1088017,-46,167
40,1092001,-36,176
41,1092002,-34,174
42,1092003,-34,173
43,1092004,-34,173
44,1092005,-34,172
45,1092006,-34,169
46,1092007,-34,169
47,1092008,-34,168
48,1092009,-34,168
49,1092010,-34,167
50,1092011,-34,167
51,1092012,-34,164
52,1092013,-34,164
53,1092014,-34,163
54,1092015,-33,162
55,1092016,-34,159
56,1092017,-33,159
57,1092018,-33,158
58,1092020,-33,157
59,1092021,-33,156
60,1092022,-33,154
61,1092023,-33,153
62,1092024,-33,152
63,1100001,-45,170
64,1100002,-45,170
65,1100003,-46,170
66,1100004,-46,170
67,1100005,-46,169
68,1100006,-46,169
69,1100007,-46,169
70,1100008,-46,168
71,1100009,-45,164
72,1100010,-45,164
73,1100011,-45,164
74,1100012,-45,163
75,1100013,-45,163
76,1100014,-45,162
77,1100015,-44,162
78,1100016,-44,162
79,1100017,-44,161
80,1100018,-44,160
81,1100019,-43,157
82,1100020,-43,156
83,1100021,-42,156
84,1100022,-42,156
85,1100023,-42,155
86,1100024,-42,155
87,1100025,-42,154
88,1100026,-41,154
89,1100027,-40,151
90,1100028,-40,151
91,1100029,-39,150
92,1100030,-39,150
93,1100031,-39,150
94,1100032,-39,149
95,1104001,-33.083333333333336,154.41666666666666
96,1104002,-33,154
97,1104003,-33,154
98,1104004,-33,153
99,1104005,-33.03333333333333,153.83333333333334
100,1104006,-32,151
101,1104007,-32,151
102,1104008,-32,151
103,1104009,-32,151
104,1104010,-32,151
105,1104011,-33,154
106,1104012,-33,154
107,1104013,-33,155
108,1104014,-33.166666666666664,155.41666666666666
109,1104015,-33,155
110,1104016,-33.4,157.56666666666666
111,1104017,-33,159
112,1104018,-33,159
113,1104019,-33,160
114,1104020,-33,160
115,1104021,-33,160
116,1104022,-33.46666666666667,160.36666666666667
117,1104023,-33,160
118,1104024,-33,160
119,1104025,-33,160
120,1104026,-33,165
121,1104027,-33,166
122,1104028,-33,166
123,1104029,-33.85,166.46666666666667
124,1104030,-33,166
125,1104031,-33,167
126,1104032,-33,167
127,1104033,-33,167
128,1104034,-34.25,171.73333333333332
129,1104035,-34,172
130,1104036,-34.266666666666666,172.05
131,1104037,-34.31666666666667,172.33333333333334
132,1104038,-34.333333333333336,172.61666666666667
133,1104039,-34.333333333333336,172.7
134,1104040,-34.36666666666667,172.9
135,1104041,-34.36666666666667,172.98333333333332
136,1104042,-34,173
137,1104043,-34.45,173.18333333333334
138,1104044,-34.56666666666667,173.51666666666668
139,1104045,-36.95,176.18333333333334
140,1104046,-37,176
141,1104047,-37.416666666666664,176.18333333333334
142,1104048,-37,176
143,1105001,-33,154
144,1105002,-33,155
145,1105003,-33,155
146,1105004,-33,155
147,1105005,-33,155
148,1105006,-33,156
149,1105007,-33,156
150,1105008,-33,161
151,1105009,-33.05,161.71666666666667
152,1105010,-33,161
153,1105011,-33,162
154,1105012,-33.18333333333333,162.46666666666667
155,1105013,-33,162
156,1105014,-33,162
157,1105015,-33.233333333333334,163.08333333333334
158,1105016,-33.31666666666667,163.7
159,1105017,-33,167
160,1105018,-33,168
161,1105019,-33.916666666666664,168.55
162,1105020,-33.56666666666667,168.38333333333333
163,1105021,-33,169
164,1105022,-34.55,173.5
165,1105023,-34.93333333333333,174.13333333333333
166,1105024,-35,174
167,1105025,-35.36666666666667,174.5
168,1105026,-35,174
169,1105027,-35,174
170,1112001,-40,148
171,1112002,-45,151
172,1112003,-45,151
173,1112004,-45,151
174,1112005,-48,158
175,1112006,-49,159
176,1112007,-49,159
177,1112008,NA,NA
178,1112009,NA,NA
179,1113001,-52.516666666666666,157.18333333333334
180,1113002,-52.083333333333336,156.78333333333333
181,1113003,-51.36666666666667,156.13333333333333
182,1113004,-49.416666666666664,154.4
183,1113005,-48.666666666666664,153.75
184,1113006,-47.8,153
185,1113007,-45.833333333333336,151.98333333333332
186,1113008,-45.06666666666667,151.43333333333334
187,1113009,-44.25,150.46666666666667
188,1113010,-41.65,148.9
189,1113011,-40.766666666666666,148.65
190,1114001,-42,138
191,1114002,-43,138
192,1114003,-46,135
193,1114004,-47,134
194,1114005,-47,134
195,1114006,-49,131
196,1114007,-50,132
197,1114008,-51,132
198,1114009,-54,132
199,1114010,-55,132
200,1114011,-56,132
201,1114012,-58,128
