year,id,age,sex,country,trick_treating
2015,2015_00001,35,Unspecified,NA,No
2015,2015_00002,41,Unspecified,NA,No
2015,2015_00003,33,Unspecified,NA,No
2015,2015_00004,31,Unspecified,NA,No
2015,2015_00005,30,Unspecified,NA,No
2015,2015_00006,38,Unspecified,NA,No
2015,2015_00007,48,Unspecified,NA,No
2015,2015_00008,39,Unspecified,NA,No
2015,2015_00009,NA,Unspecified,NA,Yes
2015,2015_00010,54,Unspecified,NA,No
2015,2015_00011,40,Unspecified,NA,No
2015,2015_00012,38,Unspecified,NA,No
2015,2015_00013,33,Unspecified,NA,No
2015,2015_00014,36,Unspecified,NA,No
2015,2015_00015,47,Unspecified,NA,No
2015,2015_00016,60,Unspecified,NA,Yes
2015,2015_00017,34,Unspecified,NA,No
2015,2015_00018,44,Unspecified,NA,Yes
2015,2015_00019,46,Unspecified,NA,No
2015,2015_00020,34,Unspecified,NA,No
2015,2015_00021,46,Unspecified,NA,No
2015,2015_00022,47,Unspecified,NA,No
2015,2015_00023,52,Unspecified,NA,No
2015,2015_00024,38,Unspecified,NA,No
2015,2015_00025,33,Unspecified,NA,No
2015,2015_00026,44,Unspecified,NA,No
2015,2015_00027,37,Unspecified,NA,No
2015,2015_00028,33,Unspecified,NA,No
2015,2015_00029,57,Unspecified,NA,No
2015,2015_00030,32,Unspecified,NA,No
2015,2015_00031,45,Unspecified,NA,No
2015,2015_00032,38,Unspecified,NA,No
2015,2015_00033,58,Unspecified,NA,Yes
2015,2015_00034,43,Unspecified,NA,No
2015,2015_00035,45,Unspecified,NA,Yes
2015,2015_00036,60,Unspecified,NA,No
2015,2015_00037,NA,Unspecified,NA,No
2015,2015_00038,49,Unspecified,NA,No
2015,2015_00039,34,Unspecified,NA,No
2015,2015_00040,NA,Unspecified,NA,No
2015,2015_00041,36,Unspecified,NA,No
2015,2015_00042,47,Unspecified,NA,No
2015,2015_00043,52,Unspecified,NA,No
2015,2015_00044,30,Unspecified,NA,No
2015,2015_00045,54,Unspecified,NA,No
2015,2015_00046,64,Unspecified,NA,No
2015,2015_00047,26,Unspecified,NA,No
2015,2015_00048,64,Unspecified,NA,No
2015,2015_00049,46,Unspecified,NA,Yes
2015,2015_00050,53,Unspecified,NA,No
2015,2015_00051,NA,Unspecified,NA,No
2015,2015_00052,32,Unspecified,NA,No
2015,2015_00053,57,Unspecified,NA,No
2015,2015_00054,27,Unspecified,NA,No
2015,2015_00055,NA,Unspecified,NA,Yes
2015,2015_00056,54,Unspecified,NA,No
2015,2015_00057,31,Unspecified,NA,No
2015,2015_00058,NA,Unspecified,NA,No
2015,2015_00059,50,Unspecified,NA,No
2015,2015_00060,42,Unspecified,NA,No
2015,2015_00061,32,Unspecified,NA,No
2015,2015_00062,NA,Unspecified,NA,No
2015,2015_00063,30,Unspecified,NA,No
2015,2015_00064,28,Unspecified,NA,No
2015,2015_00065,NA,Unspecified,NA,No
