participant_no,avg_rwa,intro_elapse_t,test_elapse_t,survey_elapse_t,country_ip,education_level,urban_classification,gender,english_native,age,handedness,religion,sexual_preference,race,voted,married,family_size,survey_accurate,major
1,4.95,8,129,124,GB,university degree,suburban,male,yes,18,right,christian (catholic),homosexual,white or indigenous australian or native american,yes,never married,2,TRUE,psychology
2,5.15,2,193,158,US,graduate degree,rural,male,yes,62,right,christian (protestant),bisexual,white or indigenous australian or native american,yes,currently married,3,TRUE,history
3,2.7,5,238,163,PL,less than high school,suburban,male,no,16,right,atheist,heterosexual,white or indigenous australian or native american,no,never married,2,TRUE,NA
4,5.15,3,140,137,CA,university degree,suburban,female,yes,59,right,muslim,heterosexual,white or indigenous australian or native american,no,previously married,3,TRUE,public relations
5,6.1,2442,455,115,GB,high school,urban,female,yes,49,both,atheist,heterosexual,white or indigenous australian or native american,yes,never married,1,TRUE,NA
6,5.45,2,198,106,US,high school,urban,male,yes,29,right,other,heterosexual,white or indigenous australian or native american,no,currently married,3,TRUE,english literature
7,5.2,7,515,541,US,high school,urban,female,yes,22,right,atheist,bisexual,white or indigenous australian or native american,no,currently married,1,TRUE,fine art
8,5.15,20,390,206,CA,high school,urban,male,no,55,left,christian (catholic),homosexual,white or indigenous australian or native american,yes,never married,8,TRUE,philosophy
9,4.95,36,269,165,CA,high school,urban,male,yes,24,right,atheist,bisexual,white or indigenous australian or native american,no,never married,3,TRUE,NA
10,4.3,1,162,74,US,high school,suburban,female,yes,18,right,atheist,other,other,no,never married,2,TRUE,psychology
11,5.25,1899,165,93,AU,high school,suburban,female,yes,15,left,atheist,asexual,white or indigenous australian or native american,no,never married,2,TRUE,NA
12,4.85,47,189,115,AU,university degree,suburban,female,yes,35,left,atheist,heterosexual,NA,no,currently married,2,TRUE,education
13,5.25,3,116,134,GB,high school,rural,male,yes,50,right,atheist,heterosexual,white or indigenous australian or native american,yes,previously married,3,TRUE,NA
14,5.4,751,237,128,SE,university degree,suburban,male,no,31,right,atheist,heterosexual,white or indigenous australian or native american,yes,never married,3,TRUE,environmental science
